"GENE_ACCESSION_ID","GENE_SYMBOL","MOUSE_STRAIN","MOUSE_LIFE_STAGE","PARAMETER_ID","PVALUE","PARAMETER_NAME","ANALYSIS_ID"
"MGI:2384919","Rxylt1","C57BL","Late adult","IMPC_HEM_039_001",0.1693937,"Large Unstained Cell (LUC) count","ii6oa68p3e7806z"
"MGI:88357","Cdk4","C57BL","E12.5","CCP_XRY_060_001",0.1765724,"Transitional vertebrae","iia250406q198bw"
"MGI:5546359","Xndc1",NA,"Early adult","IMPC_IPG_012_001",0.7926582,"Area under glucose response curve","iikcadh5c852b28"
"MGI:2141101","Depdc5","C57BL","E15.5","CCP_XRY_033_001",0.7452093,"Tibia length","iilko32w4y19xpq"
"MGI:2443219","Tmem260","C57BL","Early adult","JAX_PLC_004_001",0.1932721,"Glucose","iipw27153931x66"
"MGI:2442978","Ogfod1","C57BL","Early adult","GMC_920_001_024",0.5394254,"MIF-rest","iiq05tf38qwh95j"
"MGI:106642","Baat","C57BL","Early adult","IMPC_EYE_064_001",0.8469591,"Right outer nuclear layer","iit483940624fy5"
"MGI:1913883","Nsa2","C57BL","E9.5","JAXLA_DXA_004_001",0.7727671,"Bone Mineral Density (excluding skull)","iiwn6585b488dnr"
"MGI:2442221","Zfp652","C57BL","E18.5","MGP_CSD_008_001",0.4853938,"Startle response","iiy806i84557423"
"MGI:96669","Kcnc3","C57BL","Early adult","IMPC_CBC_011_001",0.4212933,"Iron","iiz82tu5ipj0115"
"MGI:1201378","Anxa3","C57BL","Early adult","GMC_906_001_004",0.2029227,"Sodium","iizng36ff60u847"
"MGI:2445160","Kcnh8","C57BL","Early adult","IMPC_CSD_005_001",0.4314841,"Coat - color - back","ij04ta7g726q2d6"
"MGI:1914969","2310057J18Rik","C57BL","Early adult","IMPC_HEM_035_001",0.6454109,"Eosinophil differential count","ij156x855mnycnk"
"MGI:1315201","Grcc10","C57BL","E18.5","IMPC_IMM_033_002",0.1012238,"NaÃÂ¯ve CD8+ T cells - % of live leukocytes (Panel A)","ij36z7c1t4t1h6u"
"MGI:2384919","Rxylt1","C57BL","Early adult","IMPC_CBC_006_001",0.526747,"Total protein","ij373m834nb4ie3"
"MGI:2684917","Vcpkmt","C57BL","Early adult","ESLIM_009_001_703",0.6641114,"Forelimb grip strength normalised against body weight","ij4r9194hd2ckg8"
"MGI:2176740","Helq","C57BL","Early adult","IMPC_IMM_021_001",0.1904339,"CD4 CD25- NKT cells","ij6odpqpl4axr34"
"MGI:1917933","Utp20","C57BL","E18.5","IMPC_GEP_029_002",0.9478039,"Cyanosis","ij7sc15s78q1672"
"MGI:2176740","Helq","C57BL","Early adult","CCP_XRY_062_001",0.803844,"Polysyndactylism","ijc8o3e8ysh49x3"
"MGI:1918830","Mtrf1l","C57BL","Early adult","JAX_OFD_010_001",0.5062458,"Periphery distance travelled","ijfspx07z37bve9"
"MGI:2141101","Depdc5","C57BL","E15.5","IMPC_EYE_018_001",0.6818258,"Fusion between cornea and lens","ijh97fe169h05g4"
"MGI:1913883","Nsa2","C57BL","Early adult","IMPC_DXA_007_001",0.1698499,"BMC/Body weight","ijojw61n1n88265"
"MGI:1931415","Mynn","C57BL","Early adult","IMPC_DXA_002_001",0.199476,"Fat mass","ijr3ags094w81zf"
"MGI:1919364","Zbed3","C57BL","Early adult","IMPC_HEM_030_001",0.7675574,"Neutrophil cell count","ijr9x54u7iq2p6d"
"MGI:2681846","Mpv17l2","C57BL","Early adult","IMPC_XRY_033_001",0.5278878,"Tibia length","ijvzd5pthfy9g52"
"MGI:2384982","Cdca7l","C57BL","Middle aged adult","IMPC_CSD_005_001",0.6331864,"Coat - color - back","ijwyw524165c0n8"
"MGI:1351872","Slco2b1","C57BL","Early adult","JAXLA_CSD_036_001",0.264356,"Startle response","ijxw298816l5431"
"MGI:109186","Ncf4","C57BL","Early adult","M-G-P_026_001_006",0.7719886,"Skin condition","ijxxp9s70582m96"
"MGI:1918830","Mtrf1l","C57BL","Early adult","IMPC_GEO_069_001",0.538876,"Delayed embryonic development","ik15kudt3xhxl94"
"MGI:2443497","Zmat4","C57BL","Early adult","IMPC_HEM_005_001",0.1288681,"Mean cell volume","ik414i1p7cbu01w"
"MGI:3046938","Hrnr","C57BL","Early adult","IMPC_IMM_024_001",0.7517105,"DN CD25+ NKT cells","ik44grt44ebg14p"
"MGI:108398","Mlx","C57BL","Late adult","IMPC_CBC_058_001",0.7045139,"Cholesterol ratio","ik574b0073fi020"
"MGI:2685018","Ccdc110","C57BL","Early adult","IMPC_ABR_006_001",0.4735616,"12kHz-evoked ABR Threshold","ik78v2o67870n5r"
"MGI:1917180","Zfp715","C57BL","Early adult","JAX_OFD_010_001",0.214321,"Periphery distance travelled","ik7y17w26i43172"
"MGI:1315201","Grcc10","C57BL","Early adult","GMC_920_001_019",0.8139732,"PIF-rest","ikbmhicai57f87b"
"MGI:1328358","Myom2","C57BL","Early adult","GMC_920_001_019",0.7209143,"PIF-rest","ikd77dcu679lo0m"
"MGI:97491","Pax7","C57BL","Early adult","IMPC_CSD_008_001",0.7933511,"Coat - color pattern - back","ikgu4z9737339eg"
"MGI:88357","Cdk4","C57BL","E15.5","IMPC_GEO_064_001",0,"Edema","ikly74mpld29ve7"
"MGI:2143698","Vezt","C57BL","Early adult","IMPC_HWT_008_001",0.1152491,"Heart weight","ikq78k9hs2p3z2w"
"MGI:96538","Il10ra","C57BL","Early adult","CCP_LFO_001_001",0.3243152,"Weight","ikt4o2937a05u7o"
"MGI:104992","Crybb1","C57BL","Early adult","GMC_916_001_013",0.4870359,"Entries on Board","iku3t3gie3eu37q"
"MGI:2654703","Otud7b","C57BL","Early adult","JAX_OFD_017_001",0.5722732,"Center average speed","iky8m2ir931ix33"
"MGI:1859866","Cdc20","C57BL","E12.5","IMPC_HEM_005_001",0.2604187,"Mean cell volume","il71cz0r604e90d"
"MGI:1916340","Ascc1","C57BL","E18.5","JAX_OFD_013_001",0.3413727,"Periphery average speed","il73821mar0pk6o"
"MGI:1917933","Utp20","C57BL","E18.5","MGP_CSD_008_001",0.5630947,"Startle response","il9e567si5xt7m4"
"MGI:88357","Cdk4","C57BL","E15.5","CCP_LDT_006_001",0.2200964,"Latency to first transition into light","ilb0369hnt1rqgv"
"MGI:2176740","Helq","C57BL","Early adult","CCP_XRY_031_001",0.966045,"Digit integrity","ilp74751855nu58"
"MGI:106642","Baat","C57BL","Early adult","JAXLA_CSD_039_001",0.6791979,"Limb grasp","ilq4ri7s77hlhxk"
"MGI:1918830","Mtrf1l","C57BL","Early adult","IMPC_HEM_004_001",0.7349375,"Hematocrit","ilv61u52j88jy1a"
"MGI:108278","Ube2m","C57BL","Early adult","IMPC_DXA_005_001",0.6505232,"Bone Mineral Content (excluding skull)","im4dy20foq436u5"
"MGI:1922184","Odad2","C57BL","Early adult","GMC_905_001_011",0.8541025,"Absolute number of lymphocytes","im4v6jx84d3w3sy"
"MGI:2442221","Zfp652","C57BL","E18.5","IMPC_IPG_010_001",0.545404,"Fasted blood glucose concentration","im5mo8041kphio3"
"MGI:1915485","Mturn","C57BL",NA,"ESLIM_015_001_015",0.7139496,"Alkaline phosphatase","im724k3j99dd7e8"
"MGI:2685097","Lrrc37a","C57BL","Early adult","JAXLA_GRS_011_001",0.6811097,"Forelimb and hindlimb grip strength normalised against body weight","im738qco01sm7dz"
"MGI:96669","Kcnc3","C57BL","Late adult","GMC_905_001_003",0.2501754,"Platelet","imf32u7d1f8yy1j"
"MGI:2443086","Mindy2","C57BL","Late adult","IMPC_CSD_078_001",0.8127358,"Vocalization","imh61vzlrd0qz12"
"MGI:2137624","Pom121","C57BL","E12.5","CCP_XRY_018_001",0.6924088,"Shape of vertebrae","imx9p2pc2u72qy5"
"MGI:1201378","Anxa3","C57BL","Early adult","GMC_923_001_001",0.8364207,"Body weight","imxt9m0lfd63srk"
"MGI:1915756","Ctnnbip1","C57BL","Early adult","CCP_XRY_031_001",0.3199528,"Digit integrity","imz87khqe4tlt08"
"MGI:2684917","Vcpkmt","C57BL","Early adult","JAX_OFD_017_001",0.7275055,"Center average speed","in271eb3zyqj2av"
"MGI:2384919","Rxylt1","C57BL","Early adult","JAXLA_DXA_008_001",0.8549611,"Lean/Body weight","in558j6de59n809"
"MGI:108398","Mlx","C57BL","Middle aged adult","IMPC_GEP_024_001",0.7030754,"Body wall morphology","in5w12uagp7959n"
"MGI:2384982","Cdca7l","C57BL","Early adult","IMPC_DXA_006_001",0.9708556,"Body length","in8bccv6j163520"
"MGI:2654703","Otud7b","C57BL","Early adult","IMPC_DXA_008_001",0.9170969,"Lean/Body weight","inb4azp3644493o"
"MGI:97491","Pax7","C57BL","Early adult","GMC_905_001_003",0.9499816,"Platelet","inlpg518v0x6w71"
"MGI:1916340","Ascc1","C57BL","E18.5","IMPC_CAL_008_001",0.6493328,"Total food intake","inp25d9ue5382b5"
"MGI:2685097","Lrrc37a","C57BL","Early adult","GMC_906_001_004",0.4043211,"Sodium","inrz5x4y8fppyat"
"MGI:2442978","Ogfod1","129SV","Early adult","IMPC_XRY_012_001",0.5794212,"Pelvis","inuzd46v7bebt6x"
"MGI:97491","Pax7","C57BL","Early adult","JAXLA_CSD_004_001",0.2199257,"Tail - morphology","inv1z02v3nc99jk"
"MGI:2443219","Tmem260","C57BL","Early adult","IMPC_XRY_019_001",0.05018667,"Fusion of vertebrae","inwhqz94cu9wk9o"
"MGI:3588207","Dnaaf3","C57BL","E18.5","UCDLA_CBC_015_001",0.8568737,"Total cholesterol","inwpa327ipbyh46"
"MGI:104659","Dll1","C3H","Early adult","ESLIM_009_001_703",7.029913e-05,"Forelimb grip strength normalised against body weight","io453qoh076sp95"
"MGI:1914759","Saysd1","C57BL","Early adult","GMC_920_001_006",0.3793146,"PIF-active","io54i894y8qi13h"
"MGI:108278","Ube2m","C57BL","E9.5","JAXLA_CSD_039_001",0.9953056,"Limb grasp","io622s1bh08h663"
"MGI:1917933","Utp20","C57BL","Early adult","GMC_905_001_003",0.5439508,"Platelet","io8974e7djy7y58"
"MGI:96538","Il10ra","C57BL","Early adult","IMPC_CBC_007_001",0.5973113,"Albumin","ioi9bg1i2y60220"
"MGI:1913883","Nsa2","C57BL","E9.5","IMPC_HEM_031_001",0.9859257,"Lymphocyte differential count","iol88as02j48622"
"MGI:96669","Kcnc3","C57BL","Early adult","JAXLA_DXA_007_001",0.08866275,"BMC/Body weight","iom4el9rp25b5nh"
"MGI:2442221","Zfp652","C57BL","Early adult","IMPC_EYE_003_001",0.06052182,"Eye Hemorrhage or Blood Presence","ion7314e3ilhc94"
"MGI:2443219","Tmem260","C57BL","Early adult","IMPC_CAL_017_001",0.6754623,"Respiratory Exchange Ratio","iotn3j6066l5701"
"MGI:1321393","Timeless","C57BL","Early adult","GMC_905_001_012",0.6187607,"Absolute number of monocytes","ioza57h51dy0w85"
"MGI:3046938","Hrnr","C57BL","Early adult","GMC_914_001_004",0.5545667,"Feces production","ip04kwdz45p82t2"
"MGI:1932386","Ift122","C57BL","Early adult","GMC_916_001_018",0.9761085,"Rearings box","ip0c5o684p3zo8o"
"MGI:2685298","Trim56","C57BL","Early adult","IMPC_CSD_039_001",0.9222236,"Limb grasp","ip28w2ptubk1963"
"MGI:108398","Mlx","C57BL","Middle aged adult","IMPC_CSD_008_001",0.08649044,"Coat - color pattern - back","ip4f1nn3mjd4321"
"MGI:2180565","Pnma3","C57BL","Early adult","JAX_PLC_004_001",0.6766986,"Glucose","ip60c83d892g9cj"
"MGI:88357","Cdk4",NA,"E12.5","IMPC_EYE_017_001",0.7013294,"Lens Opacity","ipc1fm1z52s0v13"
"MGI:88456","Col4a5","C57BL","Early adult","GMC_920_001_039",0.5720541,"sMV-sleep","ipj18j723dg4g45"
"MGI:104659","Dll1","C3H","Early adult","JAXLA_DXA_004_001",0.2543905,"Bone Mineral Density (excluding skull)","ipsf3u07t26vs4h"
"MGI:2686600","Zfp174","C57BL","Late adult","ESLIM_007_001_009",0.2966014,"Periphery average speed","iptaa59on0p43qo"
"MGI:2137624","Pom121","C57BL","E9.5","GMC_920_001_005",0.1442111,"MV-active","ipu7e93963g6l12"
"MGI:2384919","Rxylt1","C57BL","Early adult","GMC_905_001_011",0.7134158,"Absolute number of lymphocytes","ipw383kk3pqwn70"
"MGI:2384982","Cdca7l","C57BL","Early adult","JAXLA_CSD_077_001",0.7407706,"Contact righting","iq3wvugzy974fe3"
"MGI:3588207","Dnaaf3","C57BL","Early adult","IMPC_CBC_023_001",0.2506252,"Alpha-amylase","iq4n811na90eby7"
"MGI:1914267","Fam210b","C57BL","Early adult","IMPC_CAL_017_001",0.3711451,"Respiratory Exchange Ratio","iq6ia618fcs5388"
"MGI:1913883","Nsa2","C57BL","E9.5","GMC_905_001_010",0.9831666,"Mean platelets volume","iq741v5o259bz21"
"MGI:1859866","Cdc20","C57BL","E9.5","IMPC_HEM_030_001",0.4551046,"Neutrophil cell count","iq8d540fik4ya3n"
"MGI:1890257","Tas2r103","C57BL","Early adult","IMPC_OFD_010_001",0.4744847,"Periphery distance travelled","iq8svul46683770"
"MGI:1916319","Tmem273","C57BL","Early adult","JAX_URI_001_001",0.2399908,"microAlbumin (calculated)","iqbiesz49s25g48"
"MGI:2176740","Helq","C57BL","Early adult","IMPC_CAL_017_001",0.7982851,"Respiratory Exchange Ratio","iqfv2574wg8kpst"
"MGI:1859866","Cdc20","C57BL","E9.5","ESLIM_015_001_015",0.8675662,"Alkaline phosphatase","iqq2mms7dpd8pc0"
"MGI:1351872","Slco2b1","C57BL","Early adult","IMPC_HEM_031_001",0.2043049,"Lymphocyte differential count","iqq5582xgr13m86"
"MGI:97491","Pax7","C57BL","Early adult","IMPC_CBC_018_001",0.09347456,"Glucose","iqt1i2404200uq8"
"MGI:2384982","Cdca7l","C57BL","Middle aged adult","IMPC_OFD_013_001",0.9221537,"Periphery average speed","ir1c398kgp0y734"
"MGI:2180565","Pnma3","C57BL","Middle aged adult","IMPC_CSD_013_001",0.07088986,"Coat - hair distribution - abdomen","ir3llio9x1n6d3g"
"MGI:1914969","2310057J18Rik","C57BL","Early adult","IMPC_CBC_009_001",0.4448356,"Calcium","ir7m91jf0ci7mhj"
"MGI:108278","Ube2m","C57BL","Early adult","IMPC_CBC_017_001",0.3614625,"Triglycerides","ir9psxx79b27093"
"MGI:104659","Dll1","C3H","Early adult","IMPC_GEP_024_001",0.2864822,"Body wall morphology","irc1i951g8c3g58"
"MGI:88357","Cdk4","C57BL","E15.5","GMC_906_001_017",0.3010803,"Total cholesterol","ird030u80m2sm05"
"MGI:109186","Ncf4","C57BL","Early adult","IMPC_HEM_039_001",0.08455289,"Large Unstained Cell (LUC) count","irg0c3cv0678583"
"MGI:96669","Kcnc3","C57BL","Middle aged adult","IMPC_DXA_002_001",0.9343309,"Fat mass","irs6u8k257mlq8i"
"MGI:108398","Mlx","C57BL","Late adult","JAX_OFD_009_001",0.3216367,"Whole arena average speed","irv51376j1jq289"
"MGI:1201378","Anxa3","C57BL","Early adult","IMPC_HEM_040_001",0.456828,"Large Unstained Cell (LUC) differential count","is0zmf3izv64tli"
"MGI:1098240","Kif16b","C57BL","Early adult","ESLIM_016_001_004",0.6856373,"Haematocrit","is825h24yj2z4v9"
"MGI:2180565","Pnma3","C57BL","Early adult","IMPC_GRS_009_001",0.6347831,"Forelimb and hindlimb grip strength measurement mean","is953m3hcw1099d"
"MGI:1931415","Mynn","C57BL","Early adult","JAXLA_DXA_006_001",0.8609189,"Body length","isa47d369m6k0ej"
"MGI:2155959","Lnx2","C57BL","Early adult","IMPC_EYE_064_001",0.1336704,"Right outer nuclear layer","ishxm40awa94h93"
"MGI:88357","Cdk4","C57BL","E12.5","IMPC_ABR_010_001",0.3046584,"24kHz-evoked ABR Threshold","isqw941tngy9g40"
"MGI:1860383","Cd160","C57BL","Early adult","IMPC_DXA_003_001",0.3358673,"Lean mass","isupx0fwv4j3qft"
"MGI:1921004","Thap1","C57BL","Early adult","IMPC_HEM_008_001",0.5120507,"Platelet count","isvxy0xt9v37763"
"MGI:1920703","1700067K01Rik","C57BL","Early adult","JAXLA_OFD_020_001",0.2039949,"Distance travelled - total","it42qsip740er2d"
"MGI:97489","Pax5","C57BL","Early adult","IMPC_CBC_028_001",0.1604744,"Creatine kinase","it5cpple096w370"
"MGI:2155959","Lnx2","C57BL","Early adult","JAX_OFD_017_001",0.405343,"Center average speed","it641wb98cz7ec8"
"MGI:1920703","1700067K01Rik","C57BL","Early adult","IMPC_IMM_021_001",0.7912499,"CD4 CD25- NKT cells","it8o828n91ow4f9"
"MGI:97491","Pax7","C57BL","E15.5","IMPC_IMM_021_001",0.5636679,"CD4 CD25- NKT cells","itbzh417r63012y"
"MGI:104659","Dll1","C3H","Early adult","JAXLA_OFD_010_001",0.7774713,"Periphery distance travelled","itckqr099nww92s"
"MGI:2137624","Pom121","C57BL","E12.5","JAXLA_CBC_018_001",0.4935985,"Glucose","ith99i183457316"
"MGI:2384974","Flvcr2","C57BL","Early adult","IMPC_ABR_006_001",0.9494958,"12kHz-evoked ABR Threshold","itjzfq9ki46071k"
"MGI:2384919","Rxylt1","C57BL","Middle aged adult","IMPC_EYE_068_001",0.1962455,"Left total retinal thickness","itnlgk7syi52vl6"
"MGI:1921004","Thap1","C57BL","Early adult","GMC_916_001_021",0.3740188,"Line crossings","itu21fom4q3f2r2"
"MGI:2139134","Cercam","C57BL","Early adult","IMPC_IMM_040_001",0.8141268,"CD4 CD44+CD62L- NKT cells","itulw73mvp99k5v"
"MGI:108398","Mlx","C57BL","Late adult","JAXLA_IPG_010_001",0.02950592,"Fasted blood glucose concentration","itxw2969p3a3be4"
"MGI:2685298","Trim56","C57BL","Early adult","IMPC_CBC_020_001",0.4766452,"Fructosamine","iu18780vn323hc6"
"MGI:2686600","Zfp174","C57BL","Early adult","IMPC_GRS_011_001",0.5065594,"Forelimb and hindlimb grip strength normalised against body weight","iuc1zqiutw74cr5"
"MGI:1916319","Tmem273","C57BL","Early adult","IMPC_XRY_019_001",0.728453,"Fusion of vertebrae","iudk3a3gzy6le46"
"MGI:2445160","Kcnh8","C57BL","Early adult","IMPC_XRY_055_001",0.6078221,"Shape of spine","iuk9w3875kw8o6u"
"MGI:1917933","Utp20","C57BL","early adult","IMPC_EYE_007_001",0.6258258,"Cornea","iunb1qqog7r7o52"
"MGI:1914780","Uqcrb","C57BL","Early adult","JAX_PLC_004_001",0.5652579,"Glucose","iup451a9wp566um"
"MGI:1921004","Thap1","C57BL","Early adult","IMPC_EYE_092_001",0.572531,"Retina (combined)","iur3x03d4ab08m7"
"MGI:3588207","Dnaaf3","C57BL","Early adult","JAXLA_CSD_005_001",0.3092398,"Coat - color - back","iutz3p89dnl082a"
"MGI:88357","Cdk4","C57BL","E15.5","IMPC_CSD_005_001",0.7196608,"Coat - color - back","iuz9s9gy3s05l0g"
"MGI:2384982","Cdca7l","C57BL","Middle aged adult","CCP_XRY_018_001",0.9264707,"Shape of vertebrae","iv2t08vcxaf245p"
"MGI:1915756","Ctnnbip1","C57BL","E15.5","GMC_906_001_009",0.6276097,"Calcium","iv35b3ah57803wp"
"MGI:2141101","Depdc5","C57BL","E15.5","IMPC_ABR_006_001",0.05550535,"12kHz-evoked ABR Threshold","iv57i1648ccdy1v"
"MGI:1917933","Utp20","C57BL","E9.5","JAX_OFD_020_001",0.9935848,"Distance travelled - total","iv6p4p961oq6264"
"MGI:2443219","Tmem260","C57BL","Early adult","IMPC_XRY_033_001",0.1019635,"Tibia length","iv8780ysvh1w4gk"
"MGI:1916071","Fcsk","C57BL","Early adult","IMPC_EYE_069_001",0.6877888,"Left inner nuclear layer","ivdc3rdl5m24u4o"
"MGI:1860383","Cd160","C57BL","Early adult","GMC_920_001_011",0.1773405,"MIF-active","ivi9c7t66oysu04"
"MGI:88357","Cdk4","C57BL","E15.5","IMPC_HEM_007_001",0.2848727,"Mean cell hemoglobin concentration","ivln9vw842q52pd"
"MGI:97491","Pax7","C57BL","E15.5","JAXLA_DXA_005_001",0.1646944,"Bone Mineral Content (excluding skull)","ivmd971i9u7k147"
"MGI:1926283","Pgap6","C57BL","Early adult","IMPC_CBC_009_001",0.4811379,"Calcium","ivq8jq0gs897510"
"MGI:1917933","Utp20","C57BL","E9.5","IMPC_CBC_010_001",0.1603058,"Phosphorus","iw1wjn9z5jjb143"
"MGI:97491","Pax7","C57BL","Early adult","IMPC_ABR_008_001",0.8022162,"18kHz-evoked ABR Threshold","iw3ki0784vk383j"
"MGI:2443086","Mindy2","C57BL","Late adult","JAX_OFD_017_001",0.4457258,"Center average speed","iw46mxm4960v33l"
"MGI:2180565","Pnma3","C57BL","Late adult","IMPC_CSD_032_001",0.9562459,"Locomotor activity","iw483kxd5gud1e9"
"MGI:2137624","Pom121","C57BL","Early adult","IMPC_HEM_039_001",0.5773435,"Large Unstained Cell (LUC) count","iw6r0ridqfrac85"
"MGI:1344341","Car14","C57BL","Early adult","GMC_906_001_004",0.7382953,"Sodium","iw919p473ahwfyf"
"MGI:1916340","Ascc1","C57BL","Early adult","IMPC_ACS_006_001",0.7531186,"Response amplitude - S","iwaw0ye47805ege"
"MGI:88357","Cdk4","C57BL","E15.5","IMPC_OFD_010_001",0.6168626,"Periphery distance travelled","iwf7g719pq100a2"
"MGI:2442221","Zfp652","C57BL","Early adult","JAX_OFD_021_001",0.4741899,"Number of rears - total","iwlbp15i3236i50"
"MGI:1926283","Pgap6","C57BL","Early adult","JAXLA_CSD_077_001",0.4666059,"Contact righting","ix0816t44x3z1pb"
"MGI:97491","Pax7","C57BL","Early adult","IMPC_GRS_010_001",0.5808644,"Forelimb grip strength normalised against body weight","ix4s95v4385l8an"
"MGI:1860383","Cd160","C57BL","Early adult","IMPC_XRY_061_001",0.549138,"Fusion of processes","ix58j0o96psh599"
"MGI:2443219","Tmem260","C57BL","Early adult","IMPC_GEO_069_001",0.3680062,"Delayed embryonic development","ix5lh195q11empg"
"MGI:1351872","Slco2b1","C57BL","Early adult","GMC_916_001_018",0.5671262,"Rearings box","ix6i4njryufcgqt"
"MGI:2685097","Lrrc37a","C57BL","Early adult","JAXLA_IPG_010_001",0.1414533,"Fasted blood glucose concentration","ix73fgdq6607e49"
"MGI:2443497","Zmat4","C57BL","Early adult","IMPC_HEM_027_001",0.5941803,"Red blood cell distribution width","ixxz19c93l0c419"
"MGI:1918359","Flacc1","C57BL","Early adult","IMPC_HEM_031_001",0.3738696,"Lymphocyte differential count","iy1662ko5d6poq1"
"MGI:97491","Pax7","C57BL","Early adult","IMPC_IPG_012_001",0.605232,"Area under glucose response curve","iy40n56732974i5"
"MGI:1919364","Zbed3","C57BL","Early adult","IMPC_CSD_008_001",0.188683,"Coat - color pattern - back","iy6vv7h7u7wypt7"
"MGI:105959","Cox8a","C57BL","Early adult","IMPC_IPG_011_001",0.2121359,"Initial response to glucose challenge","iyawyk4d955q6xt"
"MGI:1860383","Cd160","C57BL","Early adult","IMPC_HEM_001_001",0.3355725,"White blood cell count","iysjb5u010x67ig"
"MGI:3652306","Krtap4-8","C57BL","Early adult","JAXLA_IPG_010_001",0.2651539,"Fasted blood glucose concentration","iz2467b3glww3gf"
"MGI:108398","Mlx","C57BL","Middle aged adult","ESLIM_015_001_013",0.3624767,"Aspartate aminotransferase","iz3698mv373729w"
"MGI:1921004","Thap1","C57BL","E9.5","IMPC_CSD_078_001",0.678486,"Vocalization","iz5s3mffob46y8u"
"MGI:2685097","Lrrc37a","C57BL","Early adult","GMC_920_001_005",0.2801274,"MV-active","iz85u7j93d706q1"
"MGI:1859866","Cdc20","C57BL","E9.5","CCP_XRY_031_001",0.4211684,"Digit integrity","iz8rzl6hqsot0z7"
"MGI:2442221","Zfp652","C57BL","Early adult","IMPC_CAL_008_001",0.6879092,"Total food intake","iz926qv92qn41w4"
"MGI:2384982","Cdca7l","C57BL","Early adult","IMPC_EYE_062_001",0.904791,"Right total retinal thickness","iz9k4fu8668319q"
"MGI:1922184","Odad2","C57BL","Early adult","GMC_905_001_012",0.4351697,"Absolute number of monocytes","izhf350d11m9u3k"
"MGI:2684789","Lrsam1","C57BL","Early adult","IMPC_CBC_010_001",0.1491882,"Phosphorus","izm82cyp23dp0f4"
"MGI:1913883","Nsa2","C57BL","E15.5","IMPC_OWT_002_001",0.2119682,"Spleen weight","izo2k6242182d2v"
"MGI:2137624","Pom121","C57BL","e12.5","IMPC_DXA_006_001",0.3562563,"Body length","izviqxmy5455vv1"
"MGI:2444785","Dcaf5","C57BL","Early adult","CCP_LDT_001_001",8.050072e-07,"Side changes","izw755w41525936"
"MGI:1913883","Nsa2","C57BL","E9.5","IMPC_CBC_004_001",0.6312141,"Urea (Blood Urea Nitrogen - BUN)","izzh5d653brg390"
"MGI:1915756","Ctnnbip1","C57BL","Early adult","ESLIM_016_001_004",0.4043667,"Haematocrit","j0277kydn21i2wd"
"MGI:2176740","Helq","C57BL","Early adult","IMPC_CBC_014_001",0.3422322,"Alkaline phosphatase","j0279311e27xry9"
"MGI:1861441","Rab27a","C57BL","Early adult","IMPC_OFD_007_001",0.1841091,"Whole arena resting time","j028z5c9xs51j24"
"MGI:1917933","Utp20","C57BL","E18.5","IMPC_ACS_006_001",0.6629547,"Response amplitude - S","j03t5r8zerb5xa4"
"MGI:1931415","Mynn","C57BL","early adult","GMC_912_001_008",0.6668781,"B-Wave 12500 Cd/mÂ² right eye","j04zk49n4ma2sqc"
"MGI:1933831","Btbd2","C57BL","early adult","IMPC_DXA_003_001",0.4661439,"Lean mass","j05918o2e8o5v7d"
"MGI:2685508","A830031A19Rik","C57BL","Early adult","JAXLA_GRS_011_001",0.3147245,"Forelimb and hindlimb grip strength normalised against body weight","j05i173te62mikj"
"MGI:1921004","Thap1","C57BL","E12.5","GMC_920_001_004",0.4189559,"TV-active","j09n29pu45qp55p"
"MGI:1923061","Saxo1","C57BL","Early adult","GMC_920_001_039",0.1343005,"sMV-sleep","j0a53l9931dso02"
"MGI:97491","Pax7","C57BL","E15.5","IMPC_CBC_017_001",0.2852458,"Triglycerides","j0c4tbx9qmdrrju"
"MGI:3046938","Hrnr","C57BL","Early adult","GMC_905_001_011",0.3532396,"Absolute number of lymphocytes","j0cq5rv9o101291"
"MGI:1344370","Ndufc2","C57BL","Early adult","IMPC_IPG_010_001",0.7542412,"Fasted blood glucose concentration","j0d88b245nq040o"
"MGI:2139134","Cercam","C57BL","Early adult","JAXLA_OFD_007_001",0.7106086,"Whole arena resting time","j0desqy6u1g48zb"
"MGI:1921004","Thap1","C57BL","E12.5","IMPC_HEM_003_001",0.2348952,"Hemoglobin","j0enk9n7em5zj43"
"MGI:96669","Kcnc3","C57BL","Middle aged adult","JAXLA_CSD_005_001",0.9874053,"Coat - color - back","j0flmt38047ru40"
"MGI:1098240","Kif16b","C57BL","Early adult","GMC_920_001_024",0.6018472,"MIF-rest","j0ftul487zx5h6r"
"MGI:1098240","Kif16b","C57BL","Early adult","JAXLA_DXA_005_001",0.6780657,"Bone Mineral Content (excluding skull)","j0g619i9l968330"
"MGI:2141101","Depdc5","C57BL","Early adult","IMPC_DXA_005_001",0.691607,"Bone Mineral Content (excluding skull)","j0h23t6dij7xnet"
"MGI:1916419","Fcmr","C57BL","Early adult","IMPC_CSD_006_001",0.5604814,"Coat - color - head","j0h50d63yy6dm33"
"MGI:104992","Crybb1","C57BL","Early adult","IMPC_EYE_019_001",0.5686953,"Synechia","j0q34m3f8951aot"
"MGI:1918830","Mtrf1l",NA,"Early adult","ESLIM_016_001_005",0.2946994,"Mean cell volume","j0r3256m14q0494"
"MGI:3646964","Fscb",NA,"Early adult","IMPC_ABR_008_001",0.2702944,"18kHz-evoked ABR Threshold","j0td082std8o3lq"
