parameter_name,parameter_description,parameter_id
Panel A additional marker 4 fluorochrome,NA,IMPC_IMM_274_001
Panel A additional marker 4 RRID,NA,IMPC_IMM_275_001
Panel A additional maker 5 name,NA,IMPC_IMM_276_001
Panel A additional marker 5 clone,NA,IMPC_IMM_277_001
Panel A additional marker 5 fluorochrome,NA,IMPC_IMM_278_001
Panel A additional marker 5 RRID,NA,IMPC_IMM_279_001
Panel B anti-CD5 clone,NA,IMPC_IMM_280_001
Panel B anti-CD5 fluorochrome,NA,IMPC_IMM_281_001
Panel B anti-CD5 RRID,NA,IMPC_IMM_282_001
Panel B anti-Ly6G clone,NA,IMPC_IMM_283_001
Panel B anti-Ly6G fluorochrome,NA,IMPC_IMM_284_001
Panel B anti-Ly6G RRID,NA,IMPC_IMM_285_001
Panel B anti-CD19 clone,NA,IMPC_IMM_286_001
Panel B anti-CD19 fluorochrome,NA,IMPC_IMM_287_001
Panel B anti-CD19 RRID,NA,IMPC_IMM_288_001
Panel B anti-Ly6C clone,NA,IMPC_IMM_289_001
Panel B anti-Ly6c fluorochrome,NA,IMPC_IMM_290_001
Panel B anti-Ly6c RRID,NA,IMPC_IMM_291_001
Panel B anti-CD21/35 clone,NA,IMPC_IMM_292_001
Panel B anti-CD21/35 fluorochrome,NA,IMPC_IMM_293_001
Panel B anti-CD21/35 RRID,NA,IMPC_IMM_294_001
Panel B anti-CD11b clone,NA,IMPC_IMM_295_001
Panel B anti-CD11b fluorochrome,NA,IMPC_IMM_296_001
Panel B anti-CD11b RRID,NA,IMPC_IMM_297_001
Panel B anti-CD11c clone,NA,IMPC_IMM_298_001
Panel B anti-CD11c fluorochrome,NA,IMPC_IMM_299_001
Panel B anti-CD11c RRID,NA,IMPC_IMM_300_001
Panel B anti-CD161 clone,NA,IMPC_IMM_301_001
Panel B anti-CD161 fluorochrome,NA,IMPC_IMM_302_001
Panel B anti-CD161 RRID,NA,IMPC_IMM_303_001
Panel B anti-MHCII clone,NA,IMPC_IMM_304_001
Panel B anti-MHCII fluorochrome,NA,IMPC_IMM_305_001
Panel B anti-MHCII RRID,NA,IMPC_IMM_306_001
Panel B Live/Dead stain,NA,IMPC_IMM_307_001
Panel B additional maker 1 name,NA,IMPC_IMM_308_001
Panel B additional marker 1 clone,NA,IMPC_IMM_309_001
Panel B additional marker 1 fluorochrome,NA,IMPC_IMM_310_001
Panel B additional marker 1 RRID,NA,IMPC_IMM_311_001
Panel B additional maker 2 name,NA,IMPC_IMM_312_001
Panel B additional marker 2 clone,NA,IMPC_IMM_313_001
Panel B additional marker 2 fluorochrome,NA,IMPC_IMM_314_001
Panel B additional marker 2 RRID,NA,IMPC_IMM_315_001
Panel B additional maker 3 name,NA,IMPC_IMM_316_001
Panel B additional marker 3 clone,NA,IMPC_IMM_317_001
Panel B additional marker 3 fluorochrome,NA,IMPC_IMM_318_001
Panel B additional marker 3 RRID,NA,IMPC_IMM_319_001
Panel B additional maker 4 name,NA,IMPC_IMM_320_001
Panel B additional marker 4 clone,NA,IMPC_IMM_321_001
Panel B additional marker 4 fluorochrome,NA,IMPC_IMM_322_001
Panel B additional marker 4 RRID,NA,IMPC_IMM_323_001
Panel B additional maker 5 name,NA,IMPC_IMM_324_001
Panel B additional marker 5 clone,NA,IMPC_IMM_325_001
Panel B additional marker 5 fluorochrome,NA,IMPC_IMM_326_001
Panel B additional marker 5 RRID,NA,IMPC_IMM_327_001
Analysis results file,A csv file with the analysis results for the mutant line,IMPC_IMM_328_001
Date of measurement,date_of_measurement,IMPC_INS_013_001
Embryo,NA,IMPC_ELZ_001_001
Head,NA,IMPC_ELZ_002_001
Forelimb,NA,IMPC_ELZ_003_001
Forearm,NA,IMPC_ELZ_004_001
Radius-ulna pre cartilage condensation,NA,IMPC_ELZ_005_001
Upper arm,NA,IMPC_ELZ_006_001
Humerus pre-cartilage condensation,NA,IMPC_ELZ_007_001
Handplate,NA,IMPC_ELZ_008_001
Hindlimb,NA,IMPC_ELZ_009_001
Footplate,NA,IMPC_ELZ_010_001
Lower leg,NA,IMPC_ELZ_011_001
Upper leg,NA,IMPC_ELZ_012_001
Femur pre-cartilage condensation,NA,IMPC_ELZ_013_001
Head mesenchyme,NA,IMPC_ELZ_014_001
Trunk mesenchyme,NA,IMPC_ELZ_015_001
Notochord,NA,IMPC_ELZ_016_001
Skin,NA,IMPC_ELZ_017_001
Vibrissa,NA,IMPC_ELZ_018_001
Oral cavity,NA,IMPC_ELZ_019_001
Mandibular process,NA,IMPC_ELZ_020_001
Meckel's cartilage,NA,IMPC_ELZ_021_001
Maxillary process,NA,IMPC_ELZ_022_001
Gut,NA,IMPC_ELZ_023_001
Pharynx,NA,IMPC_ELZ_024_001
Tongue,NA,IMPC_ELZ_025_001
Stomach,NA,IMPC_ELZ_026_001
Pancreas,NA,IMPC_ELZ_027_001
Liver,NA,IMPC_ELZ_028_001
Urinary system,NA,IMPC_ELZ_029_001
Metanephros,NA,IMPC_ELZ_030_001
Mesonephros of male,NA,IMPC_ELZ_031_001
Mesonephros of female,NA,IMPC_ELZ_032_001
Lung,NA,IMPC_ELZ_033_001
Trachea,NA,IMPC_ELZ_034_001
Umbilical artery embryonic part,NA,IMPC_ELZ_035_001
Heart,NA,IMPC_ELZ_036_001
Atrium,NA,IMPC_ELZ_037_001
Outflow tract,NA,IMPC_ELZ_038_001
Pericardium,NA,IMPC_ELZ_039_001
Heart ventricle,NA,IMPC_ELZ_040_001
Umbilical vein embryonic part,NA,IMPC_ELZ_041_001
Brain,NA,IMPC_ELZ_042_001
Forebrain,NA,IMPC_ELZ_043_001
Midbrain,NA,IMPC_ELZ_044_001
Central nervous system ganglion,NA,IMPC_ELZ_045_001
Spinal cord,NA,IMPC_ELZ_046_001
Dorsal root ganglion,NA,IMPC_ELZ_047_001
Ear,NA,IMPC_ELZ_048_001
External ear,NA,IMPC_ELZ_049_001
Inner Ear,NA,IMPC_ELZ_050_001
Eye,NA,IMPC_ELZ_051_001
Nose,NA,IMPC_ELZ_052_001
Nasal septum,NA,IMPC_ELZ_053_001
Fronto-nasal process,NA,IMPC_ELZ_054_001
Skeleton,NA,IMPC_ELZ_055_001
Axial skeleton,NA,IMPC_ELZ_056_001
Rib pre-cartilage condensation,NA,IMPC_ELZ_057_001
Thoracic vertebral cartilage condensation,NA,IMPC_ELZ_058_001
Cranium,NA,IMPC_ELZ_059_001
Tail,NA,IMPC_ELZ_060_001
Tail somite group,NA,IMPC_ELZ_061_001
Intestine,NA,IMPC_ELZ_062_001
LacZ images section,NA,IMPC_ELZ_063_001
LacZ images wholemount,NA,IMPC_ELZ_064_001
Free ontology,NA,IMPC_ELZ_065_001
Free ontology annotation reason,NA,IMPC_ELZ_066_001
Free text comment,NA,IMPC_ELZ_067_001
Microscope equipment id,NA,IMPC_ELZ_068_001
Microscope equipment manufacturer,NA,IMPC_ELZ_069_001
Microscope equipment model,NA,IMPC_ELZ_070_001
Date Microscope last calibrated,NA,IMPC_ELZ_071_001
Detector equipment manufacturer,NA,IMPC_ELZ_072_001
Detector equipment model,NA,IMPC_ELZ_073_001
Objective equipment company,NA,IMPC_ELZ_074_001
Objective equipment model,NA,IMPC_ELZ_075_001
Objective magnification,NA,IMPC_ELZ_076_001
Illumination source manufacturer,NA,IMPC_ELZ_077_001
Sample preparation stain name,NA,IMPC_ELZ_079_001
Sample preparation reference impc,NA,IMPC_ELZ_080_001
Bit depth,NA,IMPC_ELZ_081_001
Colorspace,NA,IMPC_ELZ_082_001
Experimental category,NA,IMPC_ELZ_083_001
Orientation,NA,IMPC_ELZ_084_001
Pixels per millimeter before processing,NA,IMPC_ELZ_085_001
Pixels per millimeter after processing,NA,IMPC_ELZ_086_001
Showcase image,NA,IMPC_ELZ_087_001
Date of sacrifice,NA,IMPC_ELZ_088_001
Date of staining,NA,IMPC_ELZ_089_001
Date of annotation,NA,IMPC_ELZ_090_001
Date of image capture,NA,IMPC_ELZ_091_001
Hindbrain,NA,IMPC_ELZ_092_001
Placenta,NA,IMPC_ELZ_093_001
Brain,brain,IMPC_PAT_001_001
Eye with optic nerve,eye_with_optic_nerve,IMPC_PAT_002_001
Spinal cord,spinal_cord,IMPC_PAT_003_001
Thymus,thymus,IMPC_PAT_004_001
Thyroid,thyroid,IMPC_PAT_005_001
Heart,heart,IMPC_PAT_006_001
Trachea,trachea,IMPC_PAT_007_001
Esophagus,esophagus,IMPC_PAT_008_001
Lung,lung,IMPC_PAT_009_001
Liver,liver,IMPC_PAT_010_001
Gall bladder,gall_bladder,IMPC_PAT_011_001
Stomach,stomach,IMPC_PAT_012_001
Small intestine,small_intestine,IMPC_PAT_013_001
Large intestine,large_intestine,IMPC_PAT_014_001
Pancreas,pancreas,IMPC_PAT_015_001
Spleen,spleen,IMPC_PAT_016_001
Kidney,kidney,IMPC_PAT_017_001
Adrenal gland,adrenal_gland,IMPC_PAT_018_001
Mammary gland,mammary_gland,IMPC_PAT_019_001
Lymph node,lymph_node,IMPC_PAT_020_001
Skin,skin,IMPC_PAT_021_001
Skeletal muscle,skeletal_muscle,IMPC_PAT_022_001
Urinary bladder,urinary_bladder,IMPC_PAT_023_001
Testes,testes,IMPC_PAT_024_001
Epididymis,epididymis,IMPC_PAT_025_001
Prostate,prostate,IMPC_PAT_026_001
Seminal vesicle,seminal_vesicles,IMPC_PAT_027_001
Ovary,ovary,IMPC_PAT_028_001
Uterus,uterus,IMPC_PAT_029_001
Body Weight,body_weight,IMPC_PAT_049_001
Experimenter ID,experimenter,IMPC_PAT_052_001
Method of sacrifice,sacrifice,IMPC_PAT_054_001
Method of Blood Collection,blood_collection,IMPC_PAT_055_001
Equipment ID,equipment_name,IMPC_PAT_056_001
Images,images,IMPC_PAT_057_001
Fixative,fixative,IMPC_PAT_058_001
Date equipment last calibrated,NA,IMPC_PAT_059_001
Equipment manufacturer,NA,IMPC_PAT_060_001
Equipment model,NA,IMPC_PAT_061_001
Date of sacrifice,NA,IMPC_PAT_030_001
ID for sample banking protocol,ID for center-specific cassette processing protocol,IMPC_PAT_031_001
Comments (in English),General comments in English,IMPC_PAT_032_001
Submitter ID,submitter_id,IMPC_HOU_001_001
Phenotyping project(s),phenotyping_project_s,IMPC_HOU_002_001
Pipeline ID(s),pipeline_id_s,IMPC_HOU_003_001
Start Date,start_date,IMPC_HOU_004_001
End Date,end_date,IMPC_HOU_005_001
Stage of the pipeline(s) - Start Week,stage_of_the_pipeline_s_start_week,IMPC_HOU_006_001
Stage of the pipeline(s) - End Week,stage_of_the_pipeline_s_end_week,IMPC_HOU_007_001
Procedure IDs associated with this block,procedure_ids_associated_with_this_stage_of_the_pipeline_s,IMPC_HOU_008_001
Housing - temperature range - Minimum,housing_temperature_range_minimum,IMPC_HOU_010_001
Housing - temperature range - Maximum,housing_temperature_range_maximum,IMPC_HOU_011_001
Housing - relative humidity range - Minimum,housing_relative_humidity_range_minimum,IMPC_HOU_013_001
Housing - relative humidity range - Maximum,housing_relative_humidity_range_maximum,IMPC_HOU_014_001
Housing - air changes per hour in the room - Minimum,housing_air_changes_per_hour_in_the_room_minimum,IMPC_HOU_016_001
Housing - air changes per hour in the room - Maximum,housing_air_changes_per_hour_in_the_room_maximum,IMPC_HOU_017_001
Housing - air changes per hour in the room - Units,housing_air_changes_per_hour_in_the_room_units,IMPC_HOU_018_001
Housing - air changes per hour in the IVC unit - Minimum,housing_air_changes_per_hour_in_the_ivc_unit_minimum,IMPC_HOU_020_001
Housing - air changes per hour in the IVC unit - Maximum,housing_air_changes_per_hour_in_the_ivc_unit_maximum,IMPC_HOU_021_001
Housing - air changes per hour in the IVC unit - Units,housing_air_changes_per_hour_in_the_ivc_unit_units,IMPC_HOU_022_001
Housing - can you quantify the light intensity range experienced,housing_can_you_quantify_the_light_intensity_range_experienced,IMPC_HOU_024_001
Housing - light intensity range - Minimum,housing_light_intensity_range_minimum,IMPC_HOU_025_001
Housing - light intensity range - Maximum,housing_light_intensity_range_maximum,IMPC_HOU_026_001
Housing - cage manufacturer and racking system,housing_cage_manufacturer_and_racking_system,IMPC_HOU_029_001
Housing - cage dimensions - Height,housing_cage_dimensions_height,IMPC_HOU_030_001
Housing - cage dimensions - Length,housing_cage_dimensions_length,IMPC_HOU_031_001
Housing - cage dimensions - Width,housing_cage_dimensions_width,IMPC_HOU_032_001
Housing - animals per cage - Minimum,housing_animals_per_cage_minimum,IMPC_HOU_033_001
Housing - animals per cage - Maximum,housing_animals_per_cage_maximum,IMPC_HOU_034_001
Housing - bedding type,housing_bedding_type,IMPC_HOU_035_001
Housing - cage enrichment,housing_cage_enrichment,IMPC_HOU_037_001
Housing - frequency of handling,housing_frequency_of_handling,IMPC_HOU_039_001
Nutrition - supplier and product ID of diet,nutrition_supplier_and_product_id_of_diet,IMPC_HOU_040_001
Nutrition - do you know the composition of the diet (average based on mass),nutrition_do_you_know_the_composition_of_the_diet_average_based_on_mass,IMPC_HOU_042_001
Nutrition - average composition (based on mass) - Carbohydrate,nutrition_average_composition_based_on_mass_carbohydrate,IMPC_HOU_043_001
Nutrition - average composition (based on mass) - Fat,nutrition_average_composition_based_on_mass_fat,IMPC_HOU_044_001
Nutrition - average composition (based on mass) - Protein,nutrition_average_composition_based_on_mass_protein,IMPC_HOU_045_001
Nutrition - do you know the composition of the diet (average based on calorific content),nutrition_do_you_know_the_composition_of_the_diet_average_based_on_calorific_content,IMPC_HOU_046_001
Nutrition - average composition (based on calorific content) - Carbohydrate,nutrition_average_composition_based_on_calorific_content_carbohydrate,IMPC_HOU_047_001
Nutrition - average composition (based on calorific content) - Fat,nutrition_average_composition_based_on_calorific_content_fat,IMPC_HOU_048_001
Nutrition - average composition (based on calorific content) - Protein,nutrition_average_composition_based_on_calorific_content_protein,IMPC_HOU_049_001
Nutrition - source of lipids,nutrition_source_of_lipids,IMPC_HOU_051_001
Water - pre-treatment,water_pre_treatment,IMPC_HOU_053_001
Microbiological status - method used to protect the status,microbiological_status_method_used_to_protect_the_status,IMPC_HOU_057_001
Microbiological status - closed barrier detail,microbiological_status_closed_barrier_detail,IMPC_HOU_058_001
Microbiological status - quarantine method,microbiological_status_quarantine_method,IMPC_HOU_059_001
Microbiological status - live animals allowed to join the unit,microbiological_status_live_animals_allowed_to_join_the_unit,IMPC_HOU_060_001
Microbiological status - acclimation period for live animals - Minimum,microbiological_status_acclimation_period_for_live_animals_minimum,IMPC_HOU_061_001
Microbiological status - acclimation period for live animals - Maximum,microbiological_status_acclimation_period_for_live_animals_maximum,IMPC_HOU_062_001
Microbiological status - pathogens tested for,microbiological_status_pathogens_tested_for,IMPC_HOU_063_001
Microbiological status - is your unit positive for any of the pathogens tested,microbiological_status_is_your_unit_positive_for_any_of_the_pathogens_tested,IMPC_HOU_064_001
Microbiological status - pathogens your unit is positive for,microbiological_status_pathogens_your_unit_is_positive_for,IMPC_HOU_065_001
Nutrition - do you know the source of lipids,NA,IMPC_HOU_066_001
Block descriptor,NA,IMPC_HOU_067_001
Time of dark cycle start,The starting datetime of the dark cycle. E.g. 2013-02-28T06:25:00-08:00+01 or 2013-02-28T06:25:00Z,IMPC_CAL_010_003
Time of dark cycle end,The ending time of the dark cycle. E.g. 2013-02-28T06:25:00-08:00+01 or 2013-02-28T06:25:00Z,IMPC_CAL_020_003
Respiratory Exchange Ratio series,NA,IMPC_CAL_042_001
Experimenter ID,experimenter,IMPC_HWT_003_001
Method of sacrifice,sacrifice,IMPC_HWT_005_001
Equipment ID,equipment_name,IMPC_HWT_006_001
Body weight,body_weight,IMPC_HWT_007_001
Heart weight,heart_weight,IMPC_HWT_008_001
Date equipment last calibrated,NA,IMPC_HWT_009_001
Equipment manufacturer,NA,IMPC_HWT_010_001
Equipment model,NA,IMPC_HWT_011_001
Date of sacrifice,NA,IMPC_HWT_001_001
Tibia length,tibia_length,IMPC_HWT_002_001
Heart weight normalised against body weight,NA,IMPC_HWT_012_001
Heart weight normalised against tibia length,NA,IMPC_HWT_013_001
Spleen weight,NA,IMPC_IMM_001_001
Percentage of live gated events in Panel A,NA,IMPC_IMM_002_001
T cells (panel A),NA,IMPC_IMM_003_001
NKT cells (panel A),NA,IMPC_IMM_004_001
NK cells (panel A),NA,IMPC_IMM_005_001
Others,NA,IMPC_IMM_006_001
CD4 T cells,NA,IMPC_IMM_007_001
CD8 T cells,NA,IMPC_IMM_008_001
DN T cells,NA,IMPC_IMM_009_001
DP T cells,NA,IMPC_IMM_010_001
CD4 NKT cells,NA,IMPC_IMM_011_001
CD8 NKT cells,NA,IMPC_IMM_012_001
DN NKT cells,NA,IMPC_IMM_013_001
CD4 CD25+ T cells,NA,IMPC_IMM_014_001
CD4 CD25- T cells,NA,IMPC_IMM_015_001
CD8 CD25+ T cells,NA,IMPC_IMM_016_001
CD8 CD25- T cells,NA,IMPC_IMM_017_001
DN CD25+ T cells,NA,IMPC_IMM_018_001
DN CD25- T cells,NA,IMPC_IMM_019_001
CD4 CD25+ NKT cells,NA,IMPC_IMM_020_001
CD4 CD25- NKT cells,NA,IMPC_IMM_021_001
CD8 CD25+ NKT cells,NA,IMPC_IMM_022_001
CD8 CD25- NKT cells,NA,IMPC_IMM_023_001
DN CD25+ NKT cells,NA,IMPC_IMM_024_001
DN CD25- NKT cells,NA,IMPC_IMM_025_001
CD4 CD44+CD62L- T cells,NA,IMPC_IMM_028_001
CD4 CD44+CD62L+ T cells,NA,IMPC_IMM_029_001
CD4 CD44-CD62L+ T cells,NA,IMPC_IMM_030_001
CD4 CD44-CD62L- T cells,NA,IMPC_IMM_031_001
CD8 CD44+CD62L- T cells,NA,IMPC_IMM_032_001
CD8 CD44+CD62L+ T cells,NA,IMPC_IMM_033_001
CD8 CD44-CD62L+ T cells,NA,IMPC_IMM_034_001
CD8 CD44-CD62L- T cells,NA,IMPC_IMM_035_001
DN CD44+CD62L- T cells,NA,IMPC_IMM_036_001
DN CD44+CD62L+ T cells,NA,IMPC_IMM_037_001
DN CD44-CD62L+ T cells,NA,IMPC_IMM_038_001
DN CD44-CD62L- T cells,NA,IMPC_IMM_039_001
CD4 CD44+CD62L- NKT cells,NA,IMPC_IMM_040_001
CD4 CD44+CD62L+ NKT cells,NA,IMPC_IMM_041_001
CD4 CD44-CD62L+ NKT cells,NA,IMPC_IMM_042_001
CD8 CD44+CD62L- NKT cells,NA,IMPC_IMM_043_001
CD8 CD44+CD62L+ NKT cells,NA,IMPC_IMM_044_001
CD8 CD44-CD62L+ NKT cells,NA,IMPC_IMM_045_001
DN CD44+CD62L- NKT cells,NA,IMPC_IMM_046_001
DN CD44+CD62L+ NKT cells,NA,IMPC_IMM_047_001
DN CD44-CD62L+ NKT cells,NA,IMPC_IMM_048_001
Percentage of live gated events in Panel B,NA,IMPC_IMM_049_001
Neutrophils,NA,IMPC_IMM_050_001
Monocytes,NA,IMPC_IMM_051_001
Eosinophils,NA,IMPC_IMM_052_001
NK Cells (panel B),NA,IMPC_IMM_053_001
NK Subsets (Q1),NA,IMPC_IMM_054_001
NK Subsets (Q2),NA,IMPC_IMM_055_001
NK Subsets (Q3),NA,IMPC_IMM_056_001
NK Subsets (Q4),NA,IMPC_IMM_057_001
NKT Cells (panel B),NA,IMPC_IMM_058_001
NKT Subsets (Q1),NA,IMPC_IMM_059_001
NKT Subsets (Q3),NA,IMPC_IMM_060_001
T Cells (panel B),NA,IMPC_IMM_061_001
T Subset,NA,IMPC_IMM_062_001
B Cells,NA,IMPC_IMM_063_001
B1B Cells,NA,IMPC_IMM_064_001
B2B Cells,NA,IMPC_IMM_065_001
Follicular B Cells,NA,IMPC_IMM_066_001
Follicular B Cells (CD21/35+),NA,IMPC_IMM_067_001
Transitional B Cells,NA,IMPC_IMM_068_001
Transitional B Cells (CD21/35 low),NA,IMPC_IMM_069_001
MZB,NA,IMPC_IMM_070_001
MZB (CD21/35 high),NA,IMPC_IMM_071_001
cDCs,NA,IMPC_IMM_072_001
cDCs CD11b Type,NA,IMPC_IMM_073_001
pDCs,NA,IMPC_IMM_074_001
RP Macrophage (F4/80+),NA,IMPC_IMM_075_001
RP Macrophage (CD19-  CD11c-),NA,IMPC_IMM_076_001
Equipment name,NA,IMPC_IMM_077_001
Equipment manufacturer,NA,IMPC_IMM_078_001
Equipment model,NA,IMPC_IMM_079_001
CS&T Bead lot,NA,IMPC_IMM_080_001
Anesthesia,NA,IMPC_IMM_081_001
Cell digestion,NA,IMPC_IMM_082_001
Cell digestion agent,NA,IMPC_IMM_083_001
Cell digestion agent manufacturer,NA,IMPC_IMM_084_001
Cell digestion agent catalog number,NA,IMPC_IMM_085_001
Cell counting,NA,IMPC_IMM_086_001
Cell counting equipment manufacturer,NA,IMPC_IMM_087_001
Cell counting equipment model,NA,IMPC_IMM_088_001
Cell counting equipment name,NA,IMPC_IMM_089_001
Cell lysis buffer manufacturer,NA,IMPC_IMM_090_001
Cell lysis buffer catalog number,NA,IMPC_IMM_091_001
Date and time of sacrifice,NA,IMPC_IMM_092_001
Date and time of sample preparation,NA,IMPC_IMM_093_001
Sample storage temperature until analysis (in Celsius),NA,IMPC_IMM_094_001
FCS repository reference (URL/ID),NA,IMPC_IMM_095_001
Total number of acquired events in Panel A,NA,IMPC_IMM_026_001
Total number of acquired events in Panel B,NA,IMPC_IMM_027_001
Balanced salt solution type,NA,IMPC_IMM_096_001
Balanced salt solution manufacturer,NA,IMPC_IMM_097_001
Balanced salt solution catalog number,NA,IMPC_IMM_098_001
RPMI manufacturer,NA,IMPC_IMM_099_001
RPMI catalog number,NA,IMPC_IMM_100_001
DNAse I manufacturer,NA,IMPC_IMM_101_001
DNAse I catalog number,NA,IMPC_IMM_102_001
Dead cell exclusion dye,NA,IMPC_IMM_103_001
Dead cell exclusion dye manufacturer,NA,IMPC_IMM_104_001
Dead cell exclusion dye catalog number,NA,IMPC_IMM_105_001
Cell digestion temperature (in Celsius),NA,IMPC_IMM_106_001
Panel A FCS file(s),NA,IMPC_IMM_107_001
Panel B FCS file(s),NA,IMPC_IMM_108_001
Automated analysis,NA,IMPC_IMM_109_001
Collection buffer manufacturer,NA,IMPC_IMM_110_001
Collection buffer catalog number number,NA,IMPC_IMM_111_001
FACS buffer manufacturer,NA,IMPC_IMM_112_001
FACS buffer catalog number,NA,IMPC_IMM_113_001
Enzyme buffer manufacturer,NA,IMPC_IMM_114_001
Enzyme buffer catalog number,NA,IMPC_IMM_115_001
Alive,alive,IMPC_GEL_001_001
Scored,scored,IMPC_GEL_002_001
Cardiovascular System,cardiovascular_system,IMPC_GEL_003_001
Cardiovascular Development,cardiovascular_development,IMPC_GEL_004_001
Vascular Development,vascular_development,IMPC_GEL_005_001
Pericardium Morphology,pericardium_morphology,IMPC_GEL_006_001
Failure heart looping,failure_heart_looping,IMPC_GEL_007_001
Absent heartbeat,absent_heartbeat,IMPC_GEL_008_001
Embryogenesis Phenotype,embryogenesis_phenotype,IMPC_GEL_009_001
Abnormal Gastrulation,abnormal_gastrulation,IMPC_GEL_010_001
Embryo turning,embryo_turning,IMPC_GEL_011_001
Incomplete embryo turning,incomplete_embryo_turning,IMPC_GEL_012_001
Extraembryonic tissue morphology,extraembryonic_tissue_morphology,IMPC_GEL_013_001
Allantois Morphology,allantois_morphology,IMPC_GEL_014_001
Vitelline vasculature morphology,vitelline_vasculature_morphology,IMPC_GEL_015_001
Vitelline vein morphology,vitelline_vein_morphology,IMPC_GEL_016_001
Pale yolk sac,pale_yolk_sac,IMPC_GEL_017_001
Visceral yolk sac morphology,visceral_yolk_sac_morphology,IMPC_GEL_018_001
Chorioallantoic fusion,chorioallantoic_fusion,IMPC_GEL_019_001
Developmental Patterning,developmental_patterning,IMPC_GEL_020_001
Left-right axis patterning,left_right_axis_patterning,IMPC_GEL_021_001
Direction of heart looping,direction_of_heart_looping,IMPC_GEL_022_001
Somite development,somite_development,IMPC_GEL_023_001
Branchial arch morphology,branchial_arch_morphology,IMPC_GEL_024_001
Neural fold mophology,neural_fold_mophology,IMPC_GEL_025_001
Neural tube morphology/development,neural_tube_morphology_development,IMPC_GEL_026_001
Neural tube closure,neural_tube_closure,IMPC_GEL_027_001
Forebrain,forebrain,IMPC_GEL_028_001
Midbrain,midbrain,IMPC_GEL_029_001
Hindbrain,hindbrain,IMPC_GEL_030_001
Spinal cord,spinal_cord,IMPC_GEL_031_001
Embryo Size,embryo_size,IMPC_GEL_032_001
Tail bud morphology,tail_bud_morphology,IMPC_GEL_033_001
Integument,integument,IMPC_GEL_034_001
Skin Appearance,skin_appearance,IMPC_GEL_035_001
Pallor,pallor,IMPC_GEL_036_001
Blebs,blebs,IMPC_GEL_037_001
Limb Bud Morphology,limb_bud_morphology,IMPC_GEL_038_001
Vision/Eye,vision_eye,IMPC_GEL_039_001
Eye development,eye_development,IMPC_GEL_040_001
Hearing/Vestibular/Ear,hearing_vestibular_ear,IMPC_GEL_041_001
Otic vesicle morphology,otic_vesicle_morphology,IMPC_GEL_042_001
Comment on image,comment_on_image,IMPC_GEL_043_001
Images,images,IMPC_GEL_044_001
Experimenter ID,experimenter_id,IMPC_GEL_045_001
Equipment ID,equipment_id,IMPC_GEL_046_001
Equipment Manufacturer,equipment_manufacturer,IMPC_GEL_047_001
Equipment Model,equipment_model,IMPC_GEL_048_001
Fixative,fixative,IMPC_GEL_049_001
Time of Dissection,time_of_dissection,IMPC_GEL_050_001
Somite Stage,somite_stage,IMPC_GEL_051_001
Time of dark cycle start,time_of_dark_cycle_start,IMPC_GEL_052_001
Time of dark cycle end,time_of_dark_cycle_end,IMPC_GEL_053_001
Date equipment last calibrated,date_equipment_last_calibrated,IMPC_GEL_054_001
Experimenter ID,experimenter,IMPC_BLK_003_001
Fixative,fixative,IMPC_BLK_006_001
Tissue storage ID(s),cassette_id,IMPC_BLK_007_001
Embedding medium,embedding_medium,IMPC_BLK_008_001
Embedding orientation,embedding_orientation,IMPC_BLK_009_001
Brain,brain,IMPC_BLK_010_001
Eye 1 with optic nerve (optic nerve parallel to cassette surface),eye_1_with_optic_nerve_optic_nerve_parallel_to_cassette_surface_,IMPC_BLK_011_001
Eye 2 with optic nerve (within skull),eye_2_with_optic_nerve_within_skull_,IMPC_BLK_012_001
Spinal cord,spinal_cord,IMPC_BLK_013_001
Thymus,thymus,IMPC_BLK_014_001
Thyroid,thyroid,IMPC_BLK_015_001
Heart,heart,IMPC_BLK_016_001
Trachea,trachea,IMPC_BLK_017_001
Esophagus,esophagus,IMPC_BLK_018_001
Lung,lung,IMPC_BLK_019_001
Liver,liver,IMPC_BLK_020_001
Gall bladder,gall_bladder,IMPC_BLK_021_001
Stomach,stomach,IMPC_BLK_022_001
Small intestine,small_intestine,IMPC_BLK_023_001
Large intestine,large_intestine,IMPC_BLK_024_001
Pancreas,pancreas,IMPC_BLK_025_001
Spleen,spleen,IMPC_BLK_026_001
Left Kidney,left_kidney,IMPC_BLK_027_001
Right Kidney,right_kidney,IMPC_BLK_028_001
Left Adrenal gland,left_adrenal_gland,IMPC_BLK_029_001
Right Adrenal gland,right_adrenal_gland,IMPC_BLK_030_001
Mammary gland,mammary_gland,IMPC_BLK_031_001
Lymph node,lymph_node,IMPC_BLK_032_001
Skin,skin,IMPC_BLK_033_001
Skeletal muscle,skeletal_muscle,IMPC_BLK_034_001
Urinary bladder,urinary_bladder,IMPC_BLK_035_001
Testes,testes,IMPC_BLK_036_001
Epididymis,epididymis,IMPC_BLK_037_001
Prostate,prostate,IMPC_BLK_038_001
Seminal vesicles,seminal_vesicles,IMPC_BLK_039_001
Ovary,ovary,IMPC_BLK_040_001
Uterus,uterus,IMPC_BLK_041_001
Additional tissues,additional_tissues,IMPC_BLK_042_001
Date of sacrifice,NA,IMPC_BLK_001_001
Date of necropsy,NA,IMPC_BLK_002_001
Salivary gland,NA,IMPC_BLK_043_001
